user@workspacensfs5he8tzlwhgjl:~/ai/TrafficPrediction$ python traffic_prediction.py 
Epoch: 0021, Loss: 0.0670, mae: 0.0580, rmse: 0.0817, mape: 0.1199, Time: 9.79 mins
Epoch: 0022, Loss: 0.0666, mae: 0.0578, rmse: 0.0814, mape: 0.1196, Time: 9.98 mins
Epoch: 0023, Loss: 0.0671, mae: 0.0580, rmse: 0.0817, mape: 0.1198, Time: 9.94 mins
Epoch: 0024, Loss: 0.0667, mae: 0.0578, rmse: 0.0815, mape: 0.1194, Time: 9.80 mins
Epoch: 0025, Loss: 0.0666, mae: 0.0577, rmse: 0.0814, mape: 0.1193, Time: 9.92 mins
Epoch: 0026, Loss: 0.0667, mae: 0.0578, rmse: 0.0815, mape: 0.1193, Time: 9.97 mins
Epoch: 0027, Loss: 0.0669, mae: 0.0579, rmse: 0.0816, mape: 0.1192, Time: 9.89 mins
Epoch: 0028, Loss: 0.0666, mae: 0.0577, rmse: 0.0814, mape: 0.1188, Time: 9.86 mins
Epoch: 0029, Loss: 0.0665, mae: 0.0577, rmse: 0.0814, mape: 0.1188, Time: 9.81 mins
Epoch: 0030, Loss: 0.0664, mae: 0.0576, rmse: 0.0813, mape: 0.1185, Time: 9.89 mins
Test Loss: 0.0629, mae: 0.0561, rmse: 0.0793, mape: 0.1095
